Name,Center Latitude,Center Longitude,Distance from South Pole
﻿Proclus 1b,16.2959,46.8916,3223.247824350351
﻿Runge Pit,-2.7024,86.78,2647.155715987232
﻿Rutherfurd 1a,-60.7788,348.1876,886.0846874141569
﻿Rutherfurd 1b,-60.7789,348.1862,886.0816550791144
﻿Rutherfurd 2,-60.7757,348.253,886.1786898004716
﻿Rutherfurd 3,-60.7751,348.2076,886.1968838107263
﻿Schlüter Pit,-5.8395,276.95,2552.0283333716325
﻿Schomberger A 1,-78.0579,25.3441,362.12448310023524
﻿Sharonov 1a,12.5745,173.4036,3110.402508081921
﻿Sharonov 1b,12.5762,173.4015,3110.454057777642
﻿Sinus Iridum Pit,45.623,331.189,4112.543754574425
﻿Southwest Mare Fecunditatis Pit,-6.7521,42.7595,2524.3552437745534
﻿Southwest Mare Tranquillitatis B Pit,4.1438,24.6867,2854.7554376610437
﻿Southwest Mare Tranquillitatis Pit,4.1438,24.6871,2854.7554376610437
﻿Stefan L 1,44.537,252.0302,4079.6125960137997
﻿Stefan L 2,44.4982,251.8344,4078.4360500173416
﻿Stevinus 1,-32.4259,54.6378,1745.8396096550246
﻿Stevinus 10,-32.9383,54.7378,1730.3019248976905
﻿Stevinus 11,-32.3302,54.7743,1748.7415542906158
﻿Stevinus 12,-32.3174,54.746,1749.129693176045
﻿Stevinus 13,-32.449,54.6446,1745.1391402602267
﻿Stevinus 14a,-32.1634,54.7124,1753.7994891413637
﻿Stevinus 14b,-32.1643,54.7118,1753.7721981259826
﻿Stevinus 15,-32.3568,54.9433,1747.9349531693333
﻿Stevinus 16,-32.1817,54.5943,1753.244571828602
﻿Stevinus 17,-32.3695,53.6121,1747.5498466189465
﻿Stevinus 18,-32.1226,54.8746,1755.0366818386692
﻿Stevinus 19,-32.9337,53.7983,1730.4414123096415
﻿Stevinus 2,-32.4828,54.5722,1744.1142110158908
﻿Stevinus 22,-32.9349,53.9595,1730.4050242891326
﻿Stevinus 23,-32.9642,54.0249,1729.5165501217052
﻿Stevinus 24,-32.7823,54.2992,1735.0323675638576
﻿Stevinus 25,-32.7393,54.2171,1736.3362716320962
﻿Stevinus 26,-32.1328,54.865,1754.7273836643428
﻿Stevinus 3,-32.8592,54.0796,1732.7005019162407
﻿Stevinus 4,-32.7245,54.1735,1736.7850572183736
﻿Stevinus 5,-32.4519,54.6746,1745.0512025439969
﻿Stevinus 6,-32.3828,54.6579,1747.1465460583056
﻿Stevinus 7,-32.3554,54.7126,1747.977405859927
﻿Stevinus 8,-32.3088,54.6614,1749.3904739896925
﻿Stevinus 9a,-32.9401,54.7446,1730.2473428669273
﻿Stevinus 9b,-32.9401,54.7446,1730.2473428669273
﻿Tharp 1a,-30.6002,145.6809,1801.2009505243946
﻿Tharp 1b,-30.5999,145.6841,1801.2100475295215
﻿Tharp 2,-30.5395,145.5548,1803.0415778951406
﻿Tharp 3,-30.5713,145.6634,1802.077295351652
﻿Tharp 4,-30.6063,145.7057,1801.0159780868073
﻿Tharp 5,-30.6106,145.7199,1800.8855876799832
﻿Tycho 12,-43.2169,349.5787,1418.6203352280277
﻿Tycho 13,-43.1399,348.2689,1420.955233210687
﻿Tycho 14,-43.1467,349.0718,1420.7490344278028
﻿Tycho 15a,-43.1445,349.6332,1420.815745798736
﻿Tycho 15b,-43.1456,349.6325,1420.7823901132695
﻿Tycho 16,-43.102,347.7799,1422.1044881917626
﻿Tycho 17a,-43.0855,348.2422,1422.6048234737607
﻿Tycho 17b,-43.0794,348.2427,1422.7897959113482
﻿Tycho 18,-43.2779,347.8259,1416.7706108521545
﻿Tycho 19,-43.0996,349.4182,1422.1772642327803
﻿Tycho 2,-42.5978,347.8196,1437.3935214756186
﻿Tycho 29a,-42.8468,348.5424,1429.8430072200053
﻿Tycho 29b,-42.8473,348.5415,1429.8278455447933
﻿Tycho 29c,-42.8478,348.5405,1429.8126838695812
﻿Tycho 3,-42.9449,347.7857,1426.8682865433964
﻿Tycho 5a,-42.6199,348.6332,1436.7233754312451
﻿Tycho 5b,-42.6179,348.6363,1436.7840221320932
﻿Tycho 5c,-42.6152,348.6417,1436.8658951782384
﻿Tycho 5d,-42.612,348.6483,1436.9629298995956
﻿Tycho 5e,-42.6218,348.6372,1436.665761065439
﻿Tycho 6,-42.8894,349.3296,1428.5512324919364
﻿Tycho 7,-42.8468,348.5347,1429.8430072200053
﻿Tycho 8,-42.7882,348.7741,1431.6199555548603
﻿Tycho 9,-42.6506,349.5415,1435.7924485732235
﻿Virtanen F 1,15.7946,177.2069,3208.046728782725
﻿Weiner F 1,41.0722,149.9284,3974.5482514642063
﻿West Marius Hills Pit,13.5507,301.8267,3140.004162765976
﻿Wood T 1a,43.8876,235.754,4059.920612248356
﻿Wood T 1b,43.8862,235.7613,4059.8781595577625
