Host Feat.,Name,Lat.,Long.,Funnel Max Diam. (m),Funnel Min Diam. (m),Inner Max Diam. (m),Inner Max Diam. Sorting,Inner Min Diam. (m),Inner Min Diam. Sorting,Azimuth,Depth (m),Depth Sorting
Tharp,Tharp 1b,-30.5999,145.6841,N/A,N/A,21,21,10,10,75,>16.0,16.0
Tharp,Tharp 2,-30.5395,145.5548,91,70,88,88,56,56,20,24.0,24.0
Tharp,Tharp 3,-30.5713,145.6634,40,37,31,31,N/A,,60,16.0,16.0
Tharp,Tharp 4,-30.6063,145.7057,12,12,10,10,8,8,60,9.0,9.0
Tharp,Tharp 5,-30.6106,145.7199,17,17,14,14,12,12,55,12.0,12.0
Tycho,Tycho 12,-43.2169,349.5787,47,31,34,34,16,16,50,15.0,15.0
Tycho,Tycho 13,-43.1399,348.2689,45,39,33,33,27,27,180,12.0,12.0
Tycho,Tycho 14,-43.1467,349.0718,30,27,16,16,10,10,160,>12.0,12.0
Tycho,Tycho 15a,-43.1445,349.6332,27,16,18,18,9,9,95,4.0,4.0
Tycho,Tycho 15b,-43.1456,349.6325,37,22,26,26,6,6,40,>9.0,9.0
Tycho,Tycho 16,-43.102,347.7799,68,48,60,60,40,40,165,18.0,18.0
Tycho,Tycho 17a,-43.0855,348.2422,86,61,72,72,42,42,50,16.0,16.0
Tycho,Tycho 17b,-43.0794,348.2427,98,76,68,68,53,53,50,20.0,20.0
Tycho,Tycho 18,-43.2779,347.8259,70,61,61,61,40,40,10,17.0,17.0
Tycho,Tycho 19,-43.0996,349.4182,15,14,11,11,9,9,180,7.0,7.0
Tycho,Tycho 2,-42.5978,347.8196,18,12,13,13,6,6,15,3.0,3.0
Tycho,Tycho 29a,-42.8468,348.5424,20,12,18,18,9,9,50,>10.0,10.0
Tycho,Tycho 29b,-42.8473,348.5415,18,14,14,14,9,9,140,8.0,8.0
Tycho,Tycho 29c,-42.8478,348.5405,37,35,25,25,17,17,50,10.0,10.0
Tycho,Tycho 3,-42.9449,347.7857,43,40,18,18,9,9,50,>6.0,6.0
Tycho,Tycho 5a,-42.6199,348.6332,54,35,31,31,21,21,70,22.0,22.0
Tycho,Tycho 5b,-42.6179,348.6363,86,50,77,77,42,42,50,15.0,15.0
Tycho,Tycho 5c,-42.6152,348.6417,57,34,N/A,,N/A,,90,10.0,10.0
Tycho,Tycho 5d,-42.612,348.6483,88,51,62,62,37,37,60,10.0,10.0
Tycho,Tycho 5e,-42.6218,348.6372,20,19,15,15,14,14,60,5.0,5.0
Tycho,Tycho 6,-42.8894,349.3296,30,27,20,20,19,19,120,7.0,7.0
Tycho,Tycho 7,-42.8468,348.5347,24,21,16,16,12,12,50,>15.0,15.0
Tycho,Tycho 8,-42.7882,348.7741,42,37,8,8,8,8,135,10.0,10.0
Tycho,Tycho 9,-42.6506,349.5415,77,29,58,58,16,16,100,11.0,11.0
Virtanen F,Virtanen F 1,15.7946,177.2069,49,42,20,20,14,14,55,17.0,17.0
Weiner F,Weiner F 1,41.0722,149.9284,82,82,63,63,62,62,120,22.0,22.0
Marius Hills,West Marius Hills Pit,13.5507,301.8267,95,70,N/A,,47,47,55,16.0,16.0
Wood T,Wood T 1a,43.8876,235.754,46,33,40,40,25,25,40,11.0,11.0
Wood T,Wood T 1b,43.8862,235.7613,23,18,17,17,14,14,30,11.0,11.0
