Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Brashear,-73.54,-171.57,"Planetographic, +East, -180 - 180",499.12234798150047
﻿Braude,-81.82,158.88,"Planetographic, +East, -180 - 180",248.045006469543
﻿Brayley,20.9,-36.94,"Planetographic, +East, -180 - 180",3362.8595620381775
﻿Bredikhin,17.25,-158.37,"Planetographic, +East, -180 - 180",3252.1793329900324
﻿Breislak,-48.31,18.31,"Planetographic, +East, -180 - 180",1264.1804791827917
﻿Brenner,-39.09,39.11,"Planetographic, +East, -180 - 180",1543.76177009345
﻿Brewster,23.27,34.69,"Planetographic, +East, -180 - 180",3434.7259025434114
﻿Brianchon,74.75,-88.36,"Planetographic, +East, -180 - 180",4995.771982378628
﻿Bridgman,43.39,136.98,"Planetographic, +East, -180 - 180",4044.8317130772994
﻿Briggs,26.45,-69.19,"Planetographic, +East, -180 - 180",3531.1541568922075
﻿Brisbane,-49.2,68.76,"Planetographic, +East, -180 - 180",1237.192697305299
﻿Bronk,25.9,-134.67,"Planetographic, +East, -180 - 180",3514.4763141589247
﻿Brouwer,-35.82,-124.75,"Planetographic, +East, -180 - 180",1642.919125980419
﻿Brown,-46.53,-17.99,"Planetographic, +East, -180 - 180",1318.156042937778
﻿Bruce,1.16,0.37,"Planetographic, +East, -180 - 180",2764.276624665467
﻿Brunner,-9.86,90.91,"Planetographic, +East, -180 - 180",2430.1133029913394
﻿Buch,-38.9,17.68,"Planetographic, +East, -180 - 180",1549.5232066740386
﻿Buffon,-40.64,-133.53,"Planetographic, +East, -180 - 180",1496.7605769360184
﻿Buisson,-1.47,112.95,"Planetographic, +East, -180 - 180",2684.5262130499536
﻿Bullialdus,-20.75,-22.26,"Planetographic, +East, -180 - 180",2099.8920168723516
﻿Bunsen,41.4,-85.46,"Planetographic, +East, -180 - 180",3984.488245733242
﻿Burckhardt,31.11,56.39,"Planetographic, +East, -180 - 180",3672.4609698687436
﻿Burg,45.07,28.21,"Planetographic, +East, -180 - 180",4095.7749417898704
﻿Burnham,-13.92,7.25,"Planetographic, +East, -180 - 180",2307.000500269293
﻿Busching,-38.04,19.96,"Planetographic, +East, -180 - 180",1575.601288038807
﻿Butlerov,12.05,-108.81,"Planetographic, +East, -180 - 180",3094.497910784455
﻿Buys Ballot,20.86,174.82,"Planetographic, +East, -180 - 180",3361.6466280212126
﻿Byrd,85.43,10.07,"Planetographic, +East, -180 - 180",5319.6253649085465
﻿Byrgius,-24.73,-65.38,"Planetographic, +East, -180 - 180",1979.2050821842367
﻿Cabannes,-61.24,-170.21,"Planetographic, +East, -180 - 180",872.0995581985391
﻿Cabeus,-85.33,-42.13,"Planetographic, +East, -180 - 180",141.61004648077818
﻿Cailleux,-60.41,153.5,"Planetographic, +East, -180 - 180",897.2679390505835
﻿Cai Lun,80.12,113.66,"Planetographic, +East, -180 - 180",5158.608374156309
﻿Cajal,12.59,31.08,"Planetographic, +East, -180 - 180",3110.872520013496
﻿Cajori,-47.67,168.7,"Planetographic, +East, -180 - 180",1283.5874234542475
﻿Calippus,38.92,10.72,"Planetographic, +East, -180 - 180",3909.2863366813513
﻿Cameron,6.19,45.93,"Planetographic, +East, -180 - 180",2916.803077298939
﻿Campanus,-28.04,-27.9,"Planetographic, +East, -180 - 180",1878.834792280302
﻿Campbell,45.57,152.91,"Planetographic, +East, -180 - 180",4110.936617001946
﻿Cannizzaro,55.5,-99.73,"Planetographic, +East, -180 - 180",4412.04748671375
﻿Cannon,19.88,81.36,"Planetographic, +East, -180 - 180",3331.929744605545
﻿Cantor,38.04,118.69,"Planetographic, +East, -180 - 180",3882.6017883081
﻿Capella,-7.65,34.92,"Planetographic, +East, -180 - 180",2497.1279074287095
﻿Capuanus,-34.09,-26.73,"Planetographic, +East, -180 - 180",1695.3785222141973
﻿Cardanus,13.27,-72.5,"Planetographic, +East, -180 - 180",3131.4923983019175
﻿Carlini,33.75,-24.12,"Planetographic, +East, -180 - 180",3752.514614988498
﻿Carlos,24.91,2.28,"Planetographic, +East, -180 - 180",3484.456197239017
﻿Carmichael,19.53,40.36,"Planetographic, +East, -180 - 180",3321.316571957093
﻿Carnot,52.09,-144.2,"Planetographic, +East, -180 - 180",4308.6448617674005
﻿Carol,8.48,122.37,"Planetographic, +East, -180 - 180",2986.2435497702413
﻿Carpenter,69.52,-51.23,"Planetographic, +East, -180 - 180",4837.180859660325
﻿Carrel,10.67,26.68,"Planetographic, +East, -180 - 180",3052.6516871991284
﻿Carrillo,-2.11,80.96,"Planetographic, +East, -180 - 180",2665.1192687784987
﻿Carrington,43.97,62.04,"Planetographic, +East, -180 - 180",4062.4192563233064
﻿Cartan,4.24,59.29,"Planetographic, +East, -180 - 180",2857.6725439718475
﻿Carver,-43.46,127.6,"Planetographic, +East, -180 - 180",1411.2487287399174
﻿Casatus,-72.7,-30.75,"Planetographic, +East, -180 - 180",524.5939623377858
﻿Cassegrain,-51.95,113.3,"Planetographic, +East, -180 - 180",1153.8034836388879
﻿Cassini,40.25,4.64,"Planetographic, +East, -180 - 180",3949.61639274547
﻿Catalan,-45.7,-87.37,"Planetographic, +East, -180 - 180",1343.3244237898223
﻿Catharina,-17.98,23.55,"Planetographic, +East, -180 - 180",2183.887697547246
﻿Cauchy,9.56,38.63,"Planetographic, +East, -180 - 180",3018.992768228323
﻿Cavalerius,5.1,-66.93,"Planetographic, +East, -180 - 180",2883.750625336616
﻿Cavendish,-24.63,-53.78,"Planetographic, +East, -180 - 180",1982.2374172266518
﻿Caventou,29.74,-29.38,"Planetographic, +East, -180 - 180",3630.917979787659
﻿Cayley,3.94,15.09,"Planetographic, +East, -180 - 180",2848.5755388446023
﻿Celsius,-34.1,20.05,"Planetographic, +East, -180 - 180",1695.0752887099559
﻿Censorinus,-0.42,32.69,"Planetographic, +East, -180 - 180",2716.3657309953105
﻿Cepheus,40.68,45.78,"Planetographic, +East, -180 - 180",3962.655433427855
﻿Chacornac,29.88,31.67,"Planetographic, +East, -180 - 180",3635.163248847041
﻿Chadwick,-52.85,-101.34,"Planetographic, +East, -180 - 180",1126.5124682571534
﻿Chaffee,-39.06,-154.63,"Planetographic, +East, -180 - 180",1544.6714706061748
