Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Bergman,Bergman,Moon,22.51,6.97,137.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Torbern Olof; Swedish chemist, mineralogist, astronomer (1735-1784)."
Bergstrand,Bergstrand,Moon,42.98,-18.72,176.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl Östen Emanuel; Swedish astronomer (1873-1948).
Berkner,Berkner,Moon,87.62,25.13,-105.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lloyd Viel; American geophysicist (1905-1967).
Berlage,Berlage,Moon,93.75,-63.04,-163.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Hendrik Petrus; Dutch geophysicist, meteorologist (1896-1968)."
Bernoulli,Bernoulli,Moon,47.30,34.93,60.61,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jacques; Swiss mathematician (1654-1705); Jean; Swiss mathematician (1667-1748). (Spelling changed from Bernouilli.)
Berosus,Berosus,Moon,75.24,33.50,69.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Berosus the Chaldean; Babylonian astronomer (unkn-c. 250 B.C.).
Berzelius,Berzelius,Moon,48.53,36.55,50.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jöns Jacob; Swedish chemist (1779-1848).
Bessarion,Bessarion,Moon,9.84,14.85,-37.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John; Greek scholar (1403-1472).
Bessel,Bessel,Moon,15.56,21.73,17.92,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Friedrich Wilhelm; German astronomer (1784-1846).
Bettinus,Bettinus,Moon,71.78,-63.40,-45.16,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Mario; Italian mathematician, astronomer (1582-1657)."
Bhabha,Bhabha,Moon,70.25,-55.50,-165.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Homi Jehangir; Indian physicist (1909-1966).
Bianchini,Bianchini,Moon,37.59,48.78,-34.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francesco; Italian astronomer (1662-1729).
Biela,Biela,Moon,77.03,-54.99,51.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wilhelm von; Austrian astronomer (1782-1856).
Bilharz,Bilharz,Moon,44.55,-5.83,56.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Theodor; German doctor, zoologist (1825-1862)."
Billy,Billy,Moon,45.57,-13.83,-50.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jacques de; French mathematician (1602-1679).
Bingham,Bingham,Moon,34.99,8.02,115.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hiram; American explorer (1875-1956).
