Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Protagoras,Protagoras,Moon,21.05,56.02,7.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek philosopher (c. 485-415 B.C.).
Ptolemaeus,Ptolemaeus,Moon,153.67,-9.16,-1.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Ptolemy, Claudius; Greek astronomer, mathematician, geographer (c. 87-150)."
Puiseux,Puiseux,Moon,24.95,-27.82,-39.19,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Pierre; French astronomer (1855-1928).
Pupin,Pupin,Moon,2.17,23.87,-11.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Michael Idvorsky; American physicist and inventor of Serbian origin (1858-1935).
Purbach,Purbach,Moon,114.97,-25.51,-2.03,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Georg von; Austrian mathematician, astronomer (1423-1461)."
Purkyně,Purkyne,Moon,50.29,-1.54,94.86,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jan Evangelista; Czechoslovakian doctor, physiologist (1787-1869)."
Pythagoras,Pythagoras,Moon,144.55,63.68,-62.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Of Samos; Greek philosopher, mathematician (unkn-fl. c. 532 B.C.)."
Pytheas,Pytheas,Moon,18.81,20.57,-20.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Of Marseilles; Greek navigator, geographer (c. 308 B.C.)."
Quetelet,Quetelet,Moon,54.77,42.66,-135.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Lambert Aldophe Jacques; Belgian statistician, astronomer (1796-1874)."
Rabbi Levi,Rabbi Levi,Moon,82.44,-34.78,23.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Gershon, Levi Ben; French philosopher, mathematician, astronomer (1288-1344)."
Racah,Racah,Moon,71.91,-13.50,-179.87,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giulio; Italian-Israeli physicist (1909-1965).
Raimond,Raimond,Moon,68.37,14.78,-159.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jean Jacques, Jr.; Dutch astronomer (1903-1961)."
Raman,Raman,Moon,10.17,26.96,-55.16,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chandrasekhara Venkata; Indian physicist; Nobel laureate (1888-1970).
Ramon,Ramon,Moon,17.23,-41.23,-148.08,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Ilan; Israeli astronaut, Space Shuttle Columbia Payload Specialist (1954-2003)."
Ramsay,Ramsay,Moon,61.28,-40.02,145.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir William; British chemist; Nobel laureate (1852-1916).
Ramsden,Ramsden,Moon,25.11,-32.96,-31.87,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jesse; British instrument maker (1735-1800).
Rankine,Rankine,Moon,10.48,-3.87,71.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"William John Macquorn; Scottish physicist, engineer (1820-1872)."
Raspletin,Raspletin,Moon,45.52,-22.41,151.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr Andreyevich; Soviet radio engineer (1908-1967).
Ravi,Ravi,Moon,1.62,-12.50,-1.97,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Indian male name.
Rayet,Rayet,Moon,27.76,44.65,114.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georges-Antoine-Pons; French astronomer (1839-1906).
Rayleigh,Rayleigh,Moon,113.77,29.12,89.45,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"John William Strutt, Lord Rayleigh; British physicist; Nobel laureate (1842-1919)."
Razumov,Razumov,Moon,75.08,38.95,-114.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vladimir V.; Soviet rocket builder (1890-1967).
Réaumur,Reaumur,Moon,51.25,-2.45,0.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,René-Antoine Ferchault de; French physicist (1683-1757).
Recht,Recht,Moon,19.96,9.76,123.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Albert W.; American astronomer, mathematician (1892-1962)."
Regiomontanus,Regiomontanus,Moon,126.64,-28.28,-1.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Muller, Johann; German astronomer, mathematician (1436-1476)."
Regnault,Regnault,Moon,51.31,54.04,-87.88,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henri Victor; French chemist; physicist (1810-1878).
Reichenbach,Reichenbach,Moon,64.85,-30.48,47.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg von; German optician (1772-1826).
Reimarus,Reimarus,Moon,47.62,-47.69,60.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Baer, Nicolai Reymers; German mathematician (c. 1550-c. 1600)."
Reiner,Reiner,Moon,29.85,6.92,-54.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Reinieri, Vincentio; Italian astronomer, mathematician (unkn-1648)."
Reinhold,Reinhold,Moon,43.28,3.28,-22.86,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Erasmus; German astronomer, mathematician (1511-1553)."
Repsold,Repsold,Moon,108.65,51.31,-78.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Georg; German inventor (1770-1830).
Resnik,Resnik,Moon,22.16,-34.15,-150.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Judith Arlene; member of the Challenger crew (1949-1986).
Respighi,Respighi,Moon,17.88,2.86,71.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lorenzo; Italian astronomer (1824-1890).
Rhaeticus,Rhaeticus,Moon,44.43,0.03,4.92,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Georg Joachim von Lauchen of Rhaetia; Hungarian astronomer, mathematician (1514-1576)."
Rheita,Rheita,Moon,70.81,-37.10,47.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Anton Maria Schyrle of Rhaetia; Czechoslovakian astronomer, optician (c. 1597-1660)."
Riccioli,Riccioli,Moon,155.66,-2.90,-74.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni Battista; Italian astronomer (1598-1671).
Riccius,Riccius,Moon,71.79,-37.02,26.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Augustine; Italian astronomer (fl. 1513); Ricci, Matteo; Italian mathematician, geographer (1552-1610)."
Ricco,Ricco,Moon,65.83,74.92,177.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Annibale; Italian astronomer (1844-1911).
Richards,Richards,Moon,16.80,7.70,140.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Theodore William; American chemist; Nobel laureate (1868-1928).
Richardson,Richardson,Moon,162.56,30.93,99.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Owen Willans; British quantum physicist; Nobel laureate (1879-1959).
Riedel,Riedel,Moon,49.14,-48.89,-140.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Klaus; German rocketry scientist (1907-1944); Walter; German rocket scientist (1902-1968).
Riemann,Riemann,Moon,117.85,39.38,87.18,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg Friedrich Bernhard; German mathematician (1826-1866).
Ritchey,Ritchey,Moon,24.07,-11.13,8.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"George Willis; American astronomer, optician (1864-1945)."
Rittenhouse,Rittenhouse,Moon,27.50,-74.25,107.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"David; American inventor, astronomer, mathematician (1732-1796)."
Ritter,Ritter,Moon,29.52,1.96,19.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Karl; German geographer (1779-1859); Georg August Dietrich; German astrophysicist (1826-1908).
Ritz,Ritz,Moon,53.77,-15.37,92.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Walter; Swiss physicist (1878-1909).
Robert,Robert,Moon,0.56,19.03,27.45,"Planetographic, +East, -180 - 180","Crater, craters",Approved,English male name.
Roberts,Roberts,Moon,89.37,70.66,-174.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alexander William; South African astronomer (1857-1938); Isaac; British astronomer (1829-1904).
Robertson,Robertson,Moon,89.85,21.84,-105.37,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Howard Percy; American physicist, mathematician (1903-1961)."
Robinson,Robinson,Moon,24.09,59.06,-46.03,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"(John) Thomas Romney; Irish astronomer, physicist, meteorologist (1792-1882)."
Rocca,Rocca,Moon,84.06,-12.89,-72.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni Antonio; Italian mathematician (1607-1656).
Rocco,Rocco,Moon,4.35,28.91,-45.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Italian male name.
Roche,Roche,Moon,152.67,-42.37,136.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Édouard Albert; French astronomer (1820-1883).
Romeo,Romeo,Moon,7.15,7.53,122.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Italian male name.
Römer,Romer,Moon,43.70,25.43,36.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ole; Danish astronomer (1644-1710).
Röntgen,Rontgen,Moon,128.42,32.88,-91.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wilhelm Conrad; German physicist; Nobel laureate (1845-1923).
Rosa,Rosa,Moon,0.82,20.31,-32.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Spanish female name.
Rosenberger,Rosenberger,Moon,91.65,-55.49,43.15,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Otto August; German astronomer, mathematician (1800-1890)."
Ross,Ross,Moon,24.49,11.67,21.74,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"James Clark; British explorer (1800-1862); Frank Elmore; American astronomer, optician (1874-1966)."
Rosse,Rosse,Moon,11.43,-17.95,34.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"William Parsons, Third Earl of Rosse; Irish astronomer (1800-1867)."
Rosseland,Rosseland,Moon,67.66,-40.82,130.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Svein; Norwegian astrophysicist (1894-1985).
Rost,Rost,Moon,46.85,-56.42,-33.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Leonhard; German astronomer (1688-1727).
Rothmann,Rothmann,Moon,41.67,-30.81,27.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Christopher; German astronomer (unkn-1600).
Rowland,Rowland,Moon,166.12,56.98,-162.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henry Augustus; American physicist (1848-1901).
Rozhdestvenskiy,Rozhdestvenskiy,Moon,181.15,84.99,-157.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Dmitriy Sergeevich; Soviet physicist (1876-1940).
Rumford,Rumford,Moon,60.83,-28.81,-169.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Benjamin Thompson, Count Rumford; British physicist (1753-1814)."
Runge,Runge,Moon,38.98,-2.43,86.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl David Tolme; German mathematician (1856-1927).
Russell,Russell,Moon,103.37,26.51,-75.55,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Henry Norris; American astronomer (1877-1957); John; British artist, selenographer (1745-1806)."
Ruth,Ruth,Moon,3.08,28.71,-45.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hebrew female name.
Rutherford,Rutherford,Moon,15.98,10.56,137.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Ernest; New Zealand-British physicist; Nobel laureate (1871-1937).
Rutherfurd,Rutherfurd,Moon,49.98,-61.15,-12.25,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lewis Morris; American astronomer (1816-1892).
Rydberg,Rydberg,Moon,48.03,-46.43,-96.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johannes Robert; Swedish physicist (1854-1919).
Ryder,Ryder,Moon,15.55,-43.87,143.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Graham; United Kingdom-born, American geologist (1949-2002)."
Rynin,Rynin,Moon,77.88,46.78,-103.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolaj Alexsevitch; Soviet rocketry scientist (1877-1942).
Sabatier,Sabatier,Moon,9.60,13.19,79.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Paul; French chemist; Nobel laureate (1854-1941).
Sabine,Sabine,Moon,29.75,1.38,20.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sir Edward; Irish physicist, astronomer (1788-1883)."
Sacrobosco,Sacrobosco,Moon,97.67,-23.75,16.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"John of Holywood, Johannes Sacrobuschus; British astronomer, mathematician (c. 1200-1256)."
Saenger,Saenger,Moon,74.57,4.49,102.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Eugen; German rocketry scientist (1905-1964).
Šafařík,Safarik,Moon,31.42,10.44,176.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vojtech; Czechoslovakian astronomer (1829-1902).
Saha,Saha,Moon,103.34,-1.69,103.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Meghnad; Indian astrophysicist (1893-1956).
Samir,Samir,Moon,1.86,28.50,-34.29,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arabic male name.
Sampson,Sampson,Moon,1.83,29.58,-16.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Ralph Allen; Irish-born British astronomer, mathematician (1866-1939)."
Sanford,Sanford,Moon,55.09,32.38,-139.21,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Roscoe Frank; American astronomer (1883-1958).
Santbech,Santbech,Moon,62.24,-20.99,44.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Daniel Santbech Noviomagus; Dutch mathematician, astronomer (unkn-fl. 1561)."
Santos-Dumont,Santos Dumont,Moon,8.80,27.79,4.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alberto; Brazilian aeronautical engineer (1873-1932).
Sarabhai,Sarabhai,Moon,7.38,24.75,21.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vikram Ambalal; Indian astrophysicist (1919-1971).
Sarton,Sarton,Moon,71.33,49.12,-121.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George Alfred Leon; Belgian-American historian of science (1884-1956).
Sasserides,Sasserides,Moon,81.74,-39.28,-9.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sasceride, Gellio; Danish astronomer, doctor (1562-1612)."
Saunder,Saunder,Moon,44.38,-4.26,8.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Samuel Arthur; British mathematician, selenographer (1852-1912)."
Saussure,Saussure,Moon,54.56,-43.38,-3.88,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Horace Benedict De; Swiss geologist (1740-1799).
Scaliger,Scaliger,Moon,86.40,-27.26,109.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph Justus; French chronologist (1540-1609).
Schaeberle,Schaeberle,Moon,56.74,-26.33,117.71,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John Martin; American astronomer (1853-1924).
Scheele,Scheele,Moon,4.69,-9.45,-37.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl Wilhelm; Swedish chemist (1742-1786).
Scheiner,Scheiner,Moon,110.07,-60.35,-27.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Christoph; German astronomer (1573-1650).
Schiaparelli,Schiaparelli,Moon,24.20,23.38,-58.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni Virginio; Italian astronomer (1835-1910).
Schickard,Schickard,Moon,212.18,-44.38,-55.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Wilhelm; German astronomer, mathematician (1592-1635)."
Schiller,Schiller,Moon,179.36,-51.72,-39.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Julius; German astronomer (unkn-fl. 1627).
Schjellerup,Schjellerup,Moon,62.82,69.04,158.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hans Carl; Danish astronomer (1827-1887).
Schlesinger,Schlesinger,Moon,97.28,47.12,-138.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Frank; American astronomer (1871-1943).
Schliemann,Schliemann,Moon,77.40,-1.99,155.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich; German archaeologist (1822-1890).
Schlüter,Schluter,Moon,87.55,-5.93,-83.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich; German astronomer (1815-1844).
Schmidt,Schmidt,Moon,11.13,0.96,18.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Friedrich Julius; German astronomer (1825-1884); Bernhard Voldemar; German optician (1879-1935); Otto Yulyevich; Soviet astronomer (1891-1956).
Schneller,Schneller,Moon,56.87,41.34,-163.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Schneller, Herbert; German astronomer (1901-1967)."
Schomberger,Schomberger,Moon,85.80,-76.64,24.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Georg; Austrian astronomer, mathematician (1597-1645)."
Schönfeld,Schonfeld,Moon,24.57,44.76,-98.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Eduard; German astronomer (1828-1891).
Schorr,Schorr,Moon,52.09,-19.45,89.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Richard; German astronomer (1867-1951).
Schrödinger,Schrodinger,Moon,316.39,-74.73,132.93,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Schrödinger, Erwin; Austrian physicist; Nobel laureate (1887-1961)."
Schröter,Schroter,Moon,36.67,2.74,-6.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Hieronymus; German astronomer (1745-1816).
Schubert,Schubert,Moon,51.94,2.78,81.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Theodor Friedrich von; Russian cartographer (1789-1865).
Schumacher,Schumacher,Moon,61.31,42.42,60.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich Christian; German astronomer (1780-1850).
Schuster,Schuster,Moon,100.08,4.44,146.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sir Arthur; British mathematician, physicist (1851-1934)."
Schwabe,Schwabe,Moon,25.47,65.10,45.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Samuel Heinrich; German astronomer (1789-1875).
Schwarzschild,Schwarzschild,Moon,211.42,70.08,121.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Karl; German astronomer (1873-1916).
Scobee,Scobee,Moon,41.53,-31.36,-149.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francis Richard “;Dick“;; member of the Challenger crew (1939-1986).
Scoresby,Scoresby,Moon,54.93,77.73,14.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William; British explorer (1789-1857).
Scott,Scott,Moon,107.82,-82.35,48.52,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Robert Falcon; British explorer (1868-1912).
Seares,Seares,Moon,99.50,73.74,147.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Frederick Hanley; American astronomer (1873-1964).
Secchi,Secchi,Moon,22.13,2.40,43.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Pietro Angelo; Italian astronomer, astrophysicist (1818-1878)."
Sechenov,Sechenov,Moon,63.80,-6.97,-143.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ivan Mikhaylovich; Russian physiologist (1829-1905).
Seeliger,Seeliger,Moon,8.28,-2.22,3.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hugo von; German astronomer (1849-1924).
Segers,Segers,Moon,17.28,46.99,127.52,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carlos; Argentinean astronomer (1900-1967).
Segner,Segner,Moon,67.84,-58.96,-48.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann Andreas von; German physicist, mathematician (1704-1777)."
Seidel,Seidel,Moon,55.39,-32.65,152.47,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Philipp Ludwig von; German astronomer, mathematician (1821-1896)."
Seleucus,Seleucus,Moon,45.01,21.09,-66.66,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Babylonian astronomer (unkn-fl. c. 150 B.C.).
Seneca,Seneca,Moon,47.57,26.71,79.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Lucius Annaeus; Roman philosopher, natural scientist (4 B.C.- A.D. 65)."
Seyfert,Seyfert,Moon,102.63,29.26,114.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Carl Keenan; American astronomer (1911-1960).
Shackleton,Shackleton,Moon,20.93,-89.67,129.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Ernest Henry; Irish-born British Antarctic explorer (1874-1922).
Shahinaz,Shahinaz,Moon,15.99,7.58,122.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Turkish female name.
Shaler,Shaler,Moon,48.47,-32.89,-85.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Nathaniel Southgate; American geologist, paleontologist (1841-1906)."
Shapley,Shapley,Moon,24.82,9.35,56.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Harlow; American astronomer (1885-1972).
Sharonov,Sharonov,Moon,75.12,12.37,173.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vsevolod Vasilievich; Soviet astronomer (1901-1964).
Sharp,Sharp,Moon,37.61,45.75,-40.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Abraham; British astronomer, mathematician (1651-1742)."
Shatalov,Shatalov,Moon,24.05,24.26,140.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vladimir Alexandrovich; Soviet cosmonaut (1927-Live).
Shayn,Shayn,Moon,92.90,32.52,172.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Grigorii Abramovich; Soviet astrophysicist (1892-1956).
Sheepshanks,Sheepshanks,Moon,23.67,59.24,17.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anne; British benefactor (1789-1876).
Shen Kuo,Shen Kuo,Moon,0.90,44.00,-49.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Chinese astronomer, mathematician during the Song Dynasty (1031-1095)."
Sherrington,Sherrington,Moon,18.80,-11.13,118.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Charles Scott; British neurophysiologist; Nobel laureate (1856-1952).
Shioli,Shioli,Moon,0.27,-13.33,25.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Japanese female first name.
Shirakatsi,Shirakatsi,Moon,48.13,-12.18,128.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anania; Armenian geographer (620(?)-685(?)).
Shi Shen,Shi Shen,Moon,46.52,75.78,104.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Shi(H) Shen; Chinese astronomer (unkn-c. 300 B.C.).
Shoemaker,Shoemaker,Moon,51.82,-88.14,45.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Eugene Merle; American astrogeologist (1928-1997).
Short,Short,Moon,67.94,-74.54,-7.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"James; Scottish mathematician, optician (1710-1768)."
Shternberg (Sternberg),Shternberg  Sternberg,Moon,74.36,19.38,-116.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Pavel Karlovich; Russian astronomer (1865-1920).
Shuckburgh,Shuckburgh,Moon,37.73,42.65,52.71,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sir George; British geographer, benefactor (1751-1804)."
Shuleykin,Shuleykin,Moon,14.67,-27.11,-92.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Mikhail Vasil'evich; Soviet radio engineer (1884-1939). (Spelling changed from Shulejkin.)
Siedentopf,Siedentopf,Moon,62.70,22.05,135.08,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich; German astronomer (1906-1963).
Sierpinski,Sierpinski,Moon,66.94,-26.93,154.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Waclaw; Polish mathematician (1882-1969).
Sikorsky,Sikorsky,Moon,97.67,-65.89,103.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Igor Ivanovich; Russian-American aeronautical engineer (1889-1972).
Silberschlag,Silberschlag,Moon,12.56,6.21,12.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Esaias; German astronomer (1721-1791).
Simpelius,Simpelius,Moon,68.89,-72.61,14.74,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sempill, Hugh; Scottish mathematician (1596-1654)."
Sinas,Sinas,Moon,11.67,8.85,31.60,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Simon; Greek benefactor (1810-1876).
Sirsalis,Sirsalis,Moon,44.17,-12.49,-60.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sersale, Gerolamo; Italian astronomer (1584-1654)."
Sisakyan,Sisakyan,Moon,35.60,41.07,109.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Noraír Martirósovich; Soviet doctor and biochemist (1907-1966).
Sita,Sita,Moon,1.59,4.61,120.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Indian female name.
Sklodowska,Sklodowska,Moon,125.55,-18.04,96.15,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Marie (Madame Curie); Polish physicist, chemist, Nobel laureate (1867-1934)."
Slater,Slater,Moon,25.12,-88.08,111.29,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"David Charles; American planetary scientist, specialist in optics and detectors (1957-2011)."
Slava,Slava,Moon,0.10,38.23,-35.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Slavic male name, diminutive from Vyacheslav (Lunokhod-1 landing site feature)."
Slipher,Slipher,Moon,74.65,49.28,160.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Earl Charles; American astronomer (1883-1964); Vesto Melvin; American astronomer (1875-1969).
Slocum,Slocum,Moon,12.15,-3.15,89.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Frederick; American astronomer (1873-1944).
Smith,Smith,Moon,32.87,-31.79,-151.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Michael John; member of the Challenger crew (1945-1986).
Smithson,Smithson,Moon,6.04,2.38,53.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"James; British chemist, mineralogist (1765-1829)."
Smoluchowski,Smoluchowski,Moon,84.26,60.22,-96.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Marian; Polish physicist (1872-1917).
Snellius,Snellius,Moon,85.98,-29.33,55.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Snell, Willebrod van Roijen; Dutch mathematician, astronomer, optician (1580-1626)."
Sniadecki,Sniadecki,Moon,41.13,-22.29,-168.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jan; Polish astronomer, mathematician (1756-1830)."
Soddy,Soddy,Moon,40.79,0.45,121.77,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Frederick; British physicist; Nobel laureate (1877-1956).
Somerville,Somerville,Moon,17.08,-8.33,64.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Mary Fairfax; Scottish physicist, mathematician (1780-1872)."
Sommerfeld,Sommerfeld,Moon,150.89,64.83,-161.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arnold Johannes Wilhelm; German physicist (1868-1951).
Sömmering,Sommering,Moon,27.97,0.19,-7.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Samuel Thomas von; German doctor (1755-1830).
